Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Tracker,Gender (product.metafields.specs.gender),Shape (product.metafields.specs.shape),Polarized (product.metafields.specs.polarized),Frame Material (product.metafields.specs.frame_material),Lens Material (product.metafields.specs.lens_material),Bridge Size (product.metafields.specs.bridge_size_mm),Lens Width (product.metafields.specs.lens_width_mm),Lens Height (product.metafields.specs.lens_height_mm),Temple Length (product.metafields.specs.temple_length_mm),Lens Color (product.metafields.specs.lens_color),Front Colour (product.metafields.specs.front_colour),Temple Material (product.metafields.specs.temple_material),Geofit (product.metafields.specs.geofit),Legacy SKU (product.metafields.internal.legacy_sku),Image Src
ferrari-fz5001-101v960,"Ferrari 5001 — Track Endurance, Metal Matte Black-Yellow","Frame: Metal Matte Black-Yellow. Lens: Yellow. Man / Rectangle shape. Fit: Bridge: 17mm, Lens width: 60mm, Lens height: 42mm, Temple: 145mm. Authentic, sold by an authorized retailer.",Scuderia Ferrari,Sunglasses,"Scuderia Ferrari, 5001, Rectangle",TRUE,Title,Default Title,,,,,FZ5001-101V960,3152000,3940000,,,Man,Rectangle,,Metal,Polyamide Bio,17,60,42,145,,,,,FZ5001-101V960,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ5001__101_V9__P21__noshad__fr.jpg?v=1785427427
ferrari-fz5001-101v960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ5001__101_V9__P21__noshad__qt.jpg?v=1785427429
ferrari-fz5001-1076g60,"Ferrari 5001 — Track Endurance, Metal BrushedSilver-Yellow","Frame: Metal BrushedSilver-Yellow. Lens: GryMirror. Man / Rectangle shape. Fit: Bridge: 17mm, Lens width: 60mm, Lens height: 42mm, Temple: 145mm. Authentic, sold by an authorized retailer.",Scuderia Ferrari,Sunglasses,"Scuderia Ferrari, 5001, Rectangle",TRUE,Title,Default Title,,,,,FZ5001-1076G60,3152000,3940000,,,Man,Rectangle,,Metal,Polyamide Bio,17,60,42,145,,,,,FZ5001-1076G60,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ5001__107_6G__P21__noshad__fr.jpg?v=1785427433
ferrari-fz5001-1076g60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ5001__107_6G__P21__noshad__qt.jpg?v=1785427437
ferrari-fz5001-1099r60,"Ferrari 5001 — Track Endurance, Metal Dark GunMtl-Black","Frame: Metal Dark GunMtl-Black. Lens: MirrBluePol.. Man / Rectangle shape. Fit: Bridge: 17mm, Lens width: 60mm, Lens height: 42mm, Temple: 145mm. Authentic, sold by an authorized retailer.",Scuderia Ferrari,Sunglasses,"Scuderia Ferrari, 5001, Rectangle",TRUE,Title,Default Title,,,,,FZ5001-1099R60,3688000,4610000,,,Man,Rectangle,,Metal,Polyamide Bio,17,60,42,145,,,,,FZ5001-1099R60,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ5001__109_9R__P21__noshad__fr.jpg?v=1785427440
ferrari-fz5001-1099r60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ5001__109_9R__P21__noshad__qt.jpg?v=1785427448
ferrari-fz6001-5018740,"Ferrari 6001 — Adrenaline Performance, Plastic Black(sport)","Frame: Plastic Black(sport). Lens: Grey. Unisex / Irregular shape. Fit: Bridge: 140mm, Temple: 140mm. Authentic, sold by an authorized retailer.",Scuderia Ferrari,Sunglasses,"Scuderia Ferrari, 6001, Irregular",TRUE,Title,Default Title,,,,,FZ6001-5018740,2784000,3480000,,,Unisex,Irregular,,Injected,Polyamide,140,,,140,,,,,FZ6001-5018740,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6001__501_87__P21__noshad__fr.jpg?v=1785427454
ferrari-fz6001-5018740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6001__501_87__P21__noshad__qt.jpg?v=1785427458
ferrari-fz6001-5047p40,"Ferrari 6001 — Adrenaline Performance, Plastic Matte Black(sport)","Frame: Plastic Matte Black(sport). Lens: GldMirror. Unisex / Irregular shape. Fit: Bridge: 140mm, Temple: 140mm. Authentic, sold by an authorized retailer.",Scuderia Ferrari,Sunglasses,"Scuderia Ferrari, 6001, Irregular",TRUE,Title,Default Title,,,,,FZ6001-5047P40,2784000,3480000,,,Unisex,Irregular,,Injected,Polyamide,140,,,140,,,,,FZ6001-5047P40,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6001__504_7P__P21__noshad__fr.jpg?v=1785427462
ferrari-fz6001-5047p40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6001__504_7P__P21__noshad__qt.jpg?v=1785427465
ferrari-fz6001-5078740,"Ferrari 6001 — Adrenaline Performance, Plastic OpalM.Yellow(Sport)","Frame: Plastic OpalM.Yellow(Sport). Lens: Grey. Unisex / Irregular shape. Fit: Bridge: 140mm, Temple: 140mm. Authentic, sold by an authorized retailer.",Scuderia Ferrari,Sunglasses,"Scuderia Ferrari, 6001, Irregular",TRUE,Title,Default Title,,,,,FZ6001-5078740,2784000,3480000,,,Unisex,Irregular,,Injected,Polyamide,140,,,140,,,,,FZ6001-5078740,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6001__507_87__P21__noshad__fr.jpg?v=1785427470
ferrari-fz6001-5078740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6001__507_87__P21__noshad__qt.jpg?v=1785427473
ferrari-fz6002u-5103r59,"Ferrari 6002 — Aerodynamic, Plastic BluMatte-Grey","Frame: Plastic BluMatte-Grey. Lens: GrnVioletMirror. Man / Square shape. Fit: Bridge: 18mm, Lens width: 59mm, Lens height: 47mm, Temple: 145mm. Authentic, sold by an authorized retailer.",Scuderia Ferrari,Sunglasses,"Scuderia Ferrari, 6002, Square",TRUE,Title,Default Title,,,,,FZ6002U-5103R59,1888000,2360000,,,Man,Square,,Injected,Polyamide Bio,18,59,47,145,,,,,FZ6002U-5103R59,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6002U__510_3R__P21__noshad__fr.jpg?v=1785427477
ferrari-fz6002u-5103r59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6002U__510_3R__P21__noshad__qt.jpg?v=1785427481
ferrari-fz6003u-5018159,"Ferrari 6003 — Aerodynamic, Plastic Black-Black","Frame: Plastic Black-Black. Lens: Polarized Grey. Man / Rectangle shape. Fit: Bridge: 18mm, Lens width: 59mm, Lens height: 41mm, Temple: 145mm. Authentic, sold by an authorized retailer.",Scuderia Ferrari,Sunglasses,"Scuderia Ferrari, 6003, Rectangle",TRUE,Title,Default Title,,,,,FZ6003U-5018159,2432000,3040000,,,Man,Rectangle,TRUE,Injected,Polycarbonate,18,59,41,145,,,,,FZ6003U-5018159,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6003U__501_81__P21__noshad__fr.jpg?v=1785427484
ferrari-fz6003u-5018159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6003U__501_81__P21__noshad__qt.jpg?v=1785427487
ferrari-fz6004u-5016q41,"Ferrari 6004 — Aerodynamic, Plastic Black","Frame: Plastic Black. Lens: RedGldMirror. Unisex / Irregular shape. Fit: Bridge: 141mm, Temple: 130mm. Authentic, sold by an authorized retailer.",Scuderia Ferrari,Sunglasses,"Scuderia Ferrari, 6004, Irregular",TRUE,Title,Default Title,,,,,FZ6004U-5016Q41,2608000,3260000,,,Unisex,Irregular,,Injected,Polyamide Bio,141,,,130,,,,,FZ6004U-5016Q41,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6004U__501_6Q__P21__noshad__fr.jpg?v=1785427491
ferrari-fz6004u-5016q41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0FZ6004U__501_6Q__P21__noshad__qt.jpg?v=1785427494
