Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Tracker,Gender (product.metafields.specs.gender),Shape (product.metafields.specs.shape),Polarized (product.metafields.specs.polarized),Frame Material (product.metafields.specs.frame_material),Lens Material (product.metafields.specs.lens_material),Bridge Size (product.metafields.specs.bridge_size_mm),Lens Width (product.metafields.specs.lens_width_mm),Lens Height (product.metafields.specs.lens_height_mm),Temple Length (product.metafields.specs.temple_length_mm),Lens Color (product.metafields.specs.lens_color),Front Colour (product.metafields.specs.front_colour),Temple Material (product.metafields.specs.temple_material),Geofit (product.metafields.specs.geofit),Legacy SKU (product.metafields.internal.legacy_sku),Image Src
oakley-oo4054-02,Oakley CAVEAT — PolishChr,"Frame: PolishChr. Lens: Grey. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, CAVEAT",TRUE,Title,Default Title,,,,,OO4054-02,1995000,,,shopify,,,FALSE,,,,,,,,,,,OK4054-02,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4054__405402__P21__noshad__fr.jpg?v=1785243772
oakley-oo4054-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4054__405402__P21__noshad__qt.jpg?v=1785243775
oakley-oo4074-01,Oakley TAPER  — *Cement w(Gun),"Frame: *Cement w(Gun). Lens: Black Irr. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, TAPER ",TRUE,Title,Default Title,,,,,OO4074-01,2399000,,,shopify,,,FALSE,,,,,,,,,,,OK4074-01,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4074__407401_000A.jpg?v=1785243779
oakley-oo4074-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4074__407401_030A.jpg?v=1785243782
oakley-oo4086-07,Oakley TAILPIN — *Lead,"Frame: *Lead. Lens: ChrIrr,Sz61,10. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, TAILPIN",TRUE,Title,Default Title,,,,,OO4086-07,3411000,3790000,,shopify,,,FALSE,,,,,,,,,,,OK4086-07,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4086__408607_000A.jpg?v=1785243785
oakley-oo4086-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4086__408607_030A.jpg?v=1785243790
oakley-oo4087-07,Oakley TAILHOOK — sp5s-Tit.,"Frame: sp5s-Tit.. Lens: BrnPol.60, 20. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, TAILHOOK",TRUE,Title,Default Title,,,,,OO4087-07,4770000,,,shopify,,,FALSE,,,,,,,,,,,OK4087-07,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4087__408707_000A.jpg?v=1785243798
oakley-oo4087-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4087__408707_030A.jpg?v=1785243801
oakley-oo4088-03,Oakley TAILEND — sp5s-Carbon,"Frame: sp5s-Carbon. Lens: PrzmPol.56. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, TAILEND",TRUE,Title,Default Title,,,,,OO4088-03,4960000,,,shopify,,,FALSE,,,,,,,,,,,OK4088-03,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4088__408803_000A.jpg?v=1785243805
oakley-oo4088-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4088__408803_030A.jpg?v=1785243808
oakley-oo4106-01,Oakley CONDUCTOR 6 — Matte Black,"Frame: Matte Black. Lens: Black Irr,10. Authentic, sold by an authorized retailer.",Oakley,Sunglasses,"Oakley, CONDUCTOR 6",TRUE,Title,Default Title,,,,,OO4106-01,3790000,,,shopify,,,FALSE,,,,,,,,,,,OK4106-01,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4106__410601_000A.jpg?v=1785243810
oakley-oo4106-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0OO4106__410601_030A.jpg?v=1785243814
