Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Tracker,Gender (product.metafields.specs.gender),Shape (product.metafields.specs.shape),Polarized (product.metafields.specs.polarized),Frame Material (product.metafields.specs.frame_material),Lens Material (product.metafields.specs.lens_material),Bridge Size (product.metafields.specs.bridge_size_mm),Lens Width (product.metafields.specs.lens_width_mm),Lens Height (product.metafields.specs.lens_height_mm),Temple Length (product.metafields.specs.temple_length_mm),Lens Color (product.metafields.specs.lens_color),Front Colour (product.metafields.specs.front_colour),Temple Material (product.metafields.specs.temple_material),Geofit (product.metafields.specs.geofit),Legacy SKU (product.metafields.internal.legacy_sku),Image Src
rayban-rb0298sf-1292m2,"Ray-Ban 0298 (Mega Hawkeye) — Evolution, Plastic HvnOnTransp.Brown","Frame: Plastic HvnOnTransp.Brown. Lens: BrwGrdPol.53. Unisex / Square shape. Fit: Bridge: 21mm, Lens width: 53mm, Lens height: 44mm, Temple: 145mm. Authentic, sold by an authorized retailer.",Ray-Ban,Sunglasses,"Ray-Ban, 0298 (Mega Hawkeye), Square",TRUE,Title,Default Title,,,,,RB0298SF-1292M2,3968000,4960000,,shopify,Unisex,Square,true,Acetate,Crystal,21,53,44,145,Brown Polarized,Havana On Transparent Brown,Propionate,Low Bridge Fit,RB0298SF-1292M2 ,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0RB0298SF__1292M2__P21__noshad__fr.jpg?v=1785300093
rayban-rb0298sf-1292m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0RB0298SF__1292M2__P21__noshad__qt.jpg?v=1785300096
rayban-rb0298sf-13553f,"Ray-Ban 0298 (Mega Hawkeye) — Evolution, Plastic GryOnTransp.","Frame: Plastic GryOnTransp.. Lens: ClrGrdBlue53. Unisex / Square shape. Fit: Bridge: 21mm, Lens width: 53mm, Lens height: 44mm, Temple: 145mm. Authentic, sold by an authorized retailer.",Ray-Ban,Sunglasses,"Ray-Ban, 0298 (Mega Hawkeye), Square",TRUE,Title,Default Title,,,,,RB0298SF-13553F,2800000,3500000,,shopify,Unisex,Square,false,Acetate,Crystal,21,53,44,145,Clear/Blue,Grey On Transparent,Propionate,Low Bridge Fit,RB0298SF-13553F ,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0RB0298SF__13553F__P21__noshad__fr.jpg?v=1785300099
rayban-rb0298sf-13553f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0RB0298SF__13553F__P21__noshad__qt.jpg?v=1785300102
rayban-rb0298sf-1396b1,"Ray-Ban 0298 (Mega Hawkeye) — Evolution, Plastic Dark GryOnTranspGry","Frame: Plastic Dark GryOnTranspGry. Lens: Dark Gry53. Unisex / Square shape. Fit: Bridge: 21mm, Lens width: 53mm, Lens height: 44mm, Temple: 145mm. Authentic, sold by an authorized retailer.",Ray-Ban,Sunglasses,"Ray-Ban, 0298 (Mega Hawkeye), Square",TRUE,Title,Default Title,,,,,RB0298SF-1396B1,2640000,3300000,,shopify,Unisex,Square,true,Acetate,Crystal,21,53,44,145,Brown Polarized,Havana On Transparent Brown,Propionate,Low Bridge Fit,RB0298SF-1396B1 ,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0RB0298SF__1396B1__P21__noshad__fr.jpg?v=1785300105
rayban-rb0298sf-1396b1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0RB0298SF__1396B1__P21__noshad__qt.jpg?v=1785300109
rayban-rb0298sf-90131,"Ray-Ban 0298 (Mega Hawkeye) — Evolution, Plastic Black","Frame: Plastic Black. Lens: Grn53. Unisex / Square shape. Fit: Bridge: 21mm, Lens width: 53mm, Lens height: 44mm, Temple: 145mm. Authentic, sold by an authorized retailer.",Ray-Ban,Sunglasses,"Ray-Ban, 0298 (Mega Hawkeye), Square",TRUE,Title,Default Title,,,,,RB0298SF-90131,2944000,3680000,,shopify,Unisex,Square,true,Acetate,Crystal,21,53,44,145,Brown Polarized,Havana On Transparent Brown,Propionate,Low Bridge Fit,RB0298SF-90131 ,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0RB0298SF__901_31__P21__noshad__fr.jpg?v=1785300112
rayban-rb0298sf-90131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0RB0298SF__901_31__P21__noshad__qt.jpg?v=1785300115
rayban-rb0298sf-95462,"Ray-Ban 0298 (Mega Hawkeye) — Evolution, Plastic StripHvn","Frame: Plastic StripHvn. Lens: Blue53. Unisex / Square shape. Fit: Bridge: 21mm, Lens width: 53mm, Lens height: 44mm, Temple: 145mm. Authentic, sold by an authorized retailer.",Ray-Ban,Sunglasses,"Ray-Ban, 0298 (Mega Hawkeye), Square",TRUE,Title,Default Title,,,,,RB0298SF-95462,2640000,3300000,,shopify,Unisex,Square,true,Acetate,Crystal,21,53,44,145,Brown Polarized,Havana On Transparent Brown,Propionate,Low Bridge Fit,RB0298SF-95462 ,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0RB0298SF__954_62__P21__noshad__fr.jpg?v=1785300118
rayban-rb0298sf-95462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/5215/8545/files/0RB0298SF__954_62__P21__noshad__qt.jpg?v=1785300121
